@relation traffic_pattern-weka.filters.unsupervised.attribute.Remove-R3_clustered

@attribute Instance_number numeric
@attribute dataave numeric
@attribute datavar numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
573,135,3913.25,cluster2
574,90,777.6,cluster2
575,112,3866.5,cluster2
576,139,3324.25,cluster2
577,92,886.458333,cluster2
578,125,3938.416667,cluster2
579,95,1424.978723,cluster2
580,89,720.977778,cluster2
581,120,3878.5,cluster2
582,126,3458.2,cluster2
583,126,3458.2,cluster2
584,116,3385.166667,cluster2
585,125,3767.142857,cluster2
586,204,87904.807692,cluster1
587,132,3369.857143,cluster2
588,94,1201.666667,cluster2
589,122,3621.625,cluster2
590,138,3659.333333,cluster2
591,505,131480.119469,cluster0
592,124,2630.666667,cluster2
593,112,3866.5,cluster2
594,95,1382,cluster2
595,137,3719,cluster2
596,148,3822.4,cluster2
597,121,4013.2,cluster2
598,123,3583.25,cluster2
599,108,2794.5,cluster2
600,135,3913.25,cluster2
601,135,3913.25,cluster2
602,214,105871.857143,cluster1
603,103,3729.142857,cluster2
604,131,3426.714286,cluster2
605,122,3621.625,cluster2
606,126,3458.2,cluster2
607,139,3581.5,cluster2
608,137,3719,cluster2
609,125,3158.181818,cluster2
610,115,2906.5,cluster2
611,115,4003.272727,cluster2
612,94,1209.333333,cluster2
613,126,3458.2,cluster2
614,195,91675.52,cluster1
615,117,3069,cluster2
616,135,3913.25,cluster2
617,110,3354.9,cluster2
618,116,4522.2,cluster2
619,93,1210.304348,cluster2
620,122,3399.75,cluster2
621,121,4013.2,cluster2
622,94,1175.73913,cluster2
623,135,3913.25,cluster2
624,121,3017,cluster2
625,93,1210.304348,cluster2
626,116,4522.2,cluster2
627,137,3763.5,cluster2
628,109,4084.75,cluster2
629,87,532.205128,cluster2
630,113,3833,cluster2
631,137,3465,cluster2
632,109,3374.285714,cluster2
633,95,1353.729167,cluster2
634,124,4281.142857,cluster2
635,119,3294.555556,cluster2
636,123,3805.1,cluster2
637,130,3220.833333,cluster2
638,300,177098.296875,cluster0
639,135,3913.25,cluster2
640,94,1175.891304,cluster2
641,134,3358.545455,cluster2
642,138,34837.833333,cluster2
643,141,3785.555556,cluster2
644,142,3157.75,cluster2
645,138,3659.333333,cluster2
646,135,3913.25,cluster2
647,146,3628,cluster2
648,135,3913.25,cluster2
649,148,3822.4,cluster2
