@relation traffic_pattern-weka.filters.unsupervised.attribute.Remove-R3_clustered

@attribute Instance_number numeric
@attribute dataave numeric
@attribute datavar numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
549,104,4541.166667,cluster3
550,130,3210.4,cluster1
551,121,3000.333333,cluster2
552,117,3019.1,cluster2
553,124,2853.5,cluster2
554,196,25,cluster1
555,117,3641.571429,cluster2
556,130,3680.666667,cluster1
557,112,3440.3125,cluster2
558,135,3913.25,cluster1
559,105,3757.3,cluster3
560,197,84111.62963,cluster0
561,117,2838.8,cluster2
562,102,3271.5,cluster3
563,130,3680.666667,cluster1
564,131,4297.1,cluster1
565,115,3569,cluster2
566,135,3913.25,cluster1
567,94,1183.391304,cluster3
568,130,3680.666667,cluster1
569,122,5506.5,cluster2
570,141,3785.555556,cluster1
571,120,3549.727273,cluster2
572,126,3458.2,cluster2
573,133,4223.875,cluster1
574,135,3913.25,cluster1
575,115,3569,cluster2
576,203,90074.64,cluster0
577,112,3866.5,cluster2
578,89,754.465116,cluster3
579,129,3447.083333,cluster1
580,128,3938.333333,cluster1
581,104,3104.5,cluster3
582,120,3549.727273,cluster2
583,130,3680.666667,cluster1
584,144,22988.9,cluster1
585,116,4522.2,cluster2
586,131,3758.153846,cluster1
587,131,10619.59375,cluster1
588,127,3964.857143,cluster1
589,118,3730,cluster2
590,114,2926.285714,cluster2
591,133,3606.181818,cluster1
592,135,3913.25,cluster1
593,135,3913.25,cluster1
594,134,39838.548387,cluster1
595,112,3850.25,cluster2
596,197,87393.923077,cluster0
597,115,3569,cluster2
598,93,1136.755102,cluster3
599,87,476.307692,cluster3
600,120,3524.727273,cluster2
601,140,36024.578947,cluster1
602,109,3374.285714,cluster2
603,123,3805.1,cluster2
604,135,3913.25,cluster1
605,126,3458.2,cluster2
606,93,1233.782609,cluster3
607,125,3767.142857,cluster2
608,134,3198.888889,cluster1
609,126,3458.2,cluster2
610,135,3793.666667,cluster1
611,92,1236.145833,cluster3
