"No.","time_average","time_variance","data_variance","data_average","class"
"No.","data_Average","data_Variance","class"
95,194.33333333333334,22.222222222222218,label
96,196.0,25.0,label
97,196.0,25.0,label
98,194.33333333333334,22.222222222222218,label
99,194.33333333333334,22.222222222222218,label
100,196.0,25.0,label
101,197.66666666666666,22.222222222222218,label
102,196.0,25.0,label
103,194.33333333333334,22.222222222222218,label
104,194.33333333333334,22.222222222222218,label
105,196.0,25.0,label
106,196.0,25.0,label
107,194.33333333333334,22.222222222222218,label
108,194.33333333333334,22.222222222222218,label
109,196.0,25.0,label
110,197.66666666666666,22.222222222222218,label
111,196.0,25.0,label
112,194.33333333333334,22.222222222222218,label
113,194.33333333333334,22.222222222222218,label
114,196.0,25.0,label
115,196.0,25.0,label
116,194.33333333333334,22.222222222222218,label
117,194.33333333333334,22.222222222222218,label
118,196.0,25.0,label
119,197.66666666666666,22.222222222222218,label
120,196.0,25.0,label
121,194.33333333333334,22.222222222222218,label
122,194.33333333333334,22.222222222222218,label
123,196.0,25.0,label
124,196.0,25.0,label
125,194.33333333333334,22.222222222222218,label
126,194.33333333333334,22.222222222222218,label
127,196.0,25.0,label
128,197.66666666666666,22.222222222222218,label
129,196.0,25.0,label
130,194.33333333333334,22.222222222222218,label
131,194.33333333333334,22.222222222222218,label
132,196.0,25.0,label
133,196.0,25.0,label
134,194.33333333333334,22.222222222222218,label
135,194.33333333333334,22.222222222222218,label
136,194.33333333333334,22.222222222222218,label
137,196.0,25.0,label
138,196.0,25.0,label
139,194.33333333333334,22.222222222222218,label
140,194.33333333333334,22.222222222222218,label
141,196.0,25.0,label
142,197.66666666666666,22.222222222222218,label
143,196.0,25.0,label
144,194.33333333333334,22.222222222222218,label
145,194.33333333333334,22.222222222222218,label
146,196.0,25.0,label
147,196.0,25.0,label
148,194.33333333333334,22.222222222222218,label
149,194.33333333333334,22.222222222222218,label
150,196.0,25.0,label
151,197.66666666666666,22.222222222222218,label
152,196.0,25.0,label
153,194.33333333333334,22.222222222222218,label
154,194.33333333333334,22.222222222222218,label
155,196.0,25.0,label
156,196.0,25.0,label
157,194.33333333333334,22.222222222222218,label
158,194.33333333333334,22.222222222222218,label
159,196.0,25.0,label
160,197.66666666666666,22.222222222222218,label
161,196.0,25.0,label
162,194.33333333333334,22.222222222222218,label
163,194.33333333333334,22.222222222222218,label
164,196.0,25.0,label
165,196.0,25.0,label
166,194.33333333333334,22.222222222222218,label
167,194.33333333333334,22.222222222222218,label
168,196.0,25.0,label
169,197.66666666666666,22.222222222222218,label
170,196.0,25.0,label
171,194.33333333333334,22.222222222222218,label
172,194.33333333333334,22.222222222222218,label
173,196.0,25.0,label
174,196.0,25.0,label
175,194.33333333333334,22.222222222222218,label
176,194.33333333333334,22.222222222222218,label
177,196.0,25.0,label
178,197.66666666666666,22.222222222222218,label
179,196.0,25.0,label
180,194.33333333333334,22.222222222222218,label
181,194.33333333333334,22.222222222222218,label
182,196.0,25.0,label
183,196.0,25.0,label
184,194.33333333333334,22.222222222222218,label
185,194.33333333333334,22.222222222222218,label
186,194.33333333333334,22.222222222222218,label
187,196.0,25.0,label
188,196.0,25.0,label
