"No.","average","variance","class"
339,116,4522.2,label
340,142,3905.6666666666665,label
341,137,3465.0,label
342,90,1029.1702127659576,label
343,117,3247.733333333333,label
344,131,3426.714285714286,label
345,120,3061.5555555555557,label
346,133,3606.181818181818,label
347,130,3680.6666666666665,label
348,92,964.7727272727273,label
349,120,3549.7272727272725,label
350,126,3458.2,label
351,135,3913.25,label
352,148,3822.4,label
353,135,3913.25,label
354,104,4541.166666666667,label
355,125,3767.1428571428573,label
356,214,105871.85714285714,label
357,89,772.4047619047619,label
358,126,3458.2,label
359,130,3680.6666666666665,label
360,125,3479.3846153846152,label
361,130,3240.5714285714284,label
362,130,3680.6666666666665,label
363,93,1160.25,label
364,120,3063.8333333333335,label
365,120,3063.8333333333335,label
366,123,3145.3571428571427,label
367,118,4010.3846153846152,label
368,138,3659.3333333333335,label
369,93,1184.7446808510638,label
370,112,3184.6,label
371,124,3676.9,label
372,132,3527.8888888888887,label
373,120,3878.5,label
374,125,3767.1428571428573,label
375,133,40437.96721311475,label
376,142,3905.6666666666665,label
377,110,3244.0,label
378,139,3382.375,label
379,121,3436.375,label
380,130,3639.0,label
381,95,1424.9787234042553,label
382,118,3302.0,label
383,138,3480.0,label
384,131,3426.714285714286,label
385,110,2919.181818181818,label
386,93,1184.6382978723404,label
387,127,3725.25,label
388,146,3628.0,label
389,126,3458.2,label
390,135,3913.25,label
391,120,3063.8333333333335,label
392,120,3063.8333333333335,label
393,115,3569.0,label
394,203,93840.75,label
395,89,772.4047619047619,label
396,126,3458.2,label
397,123,3426.769230769231,label
398,112,3569.153846153846,label
399,139,3382.375,label
400,126,3754.6666666666665,label
401,94,1411.9375,label
402,135,3913.25,label
403,130,3680.6666666666665,label
404,123,3224.3636363636365,label
405,126,3754.6666666666665,label
406,94,1388.9375,label
407,123,3805.1,label
408,142,3157.75,label
409,127,3964.8571428571427,label
410,130,3240.5714285714284,label
411,218,100057.68181818182,label
412,91,954.2173913043479,label
413,135,35193.90540540541,label
414,133,10367.030303030304,label
415,113,3821.6666666666665,label
416,112,3099.0,label
417,112,3866.5,label
418,116,4522.2,label
419,126,3458.2,label
420,148,3822.4,label
421,112,3866.5,label
422,89,766.7441860465116,label
423,146,3628.0,label
424,116,4522.2,label
425,135,3913.25,label
426,110,4190.583333333333,label
427,111,3135.8571428571427,label
428,130,4758.0,label
429,126,3458.2,label
430,126,3458.2,label
431,89,754.4651162790698,label
432,123,4075.285714285714,label
433,113,3720.0833333333335,label
434,114,4169.272727272727,label
435,133,3606.181818181818,label
436,186,76750.73333333334,label
437,93,1184.7446808510638,label
438,124,4338.0,label
439,135,3431.4545454545455,label
440,121,4013.2,label
441,120,4272.916666666667,label
442,93,1160.25,label
443,124,4338.0,label
444,142,3905.6666666666665,label
445,137,3465.0,label
446,116,4522.2,label
447,93,1160.1458333333333,label
448,121,4013.2,label
